ID,Title,Blueprint,SqFt,Lot Size,Year Built,Property Type,Status,Distressed,Short Sale,HOA/COA,Owner Type,Owner Status,Occupancy,Length of Ownership,Purchase Method,County,Estimated Value
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Primary,"9,171","101,364",2021,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 1,"3,704","7,417",2016,Single Family Residential,Off Market,No,No,No,Trust,Non-Owner Occupied,Occupied,9 Years,Financed,Collin,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 2,N/A,2,N/A,Commercial-Vacant Land,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,31 Years 1 Month,Financed,Denton,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 3,N/A,2,N/A,Commercial-Vacant Land,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Denton,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 4,"2,156","1,230",1995,Mobile home,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,13 Years 1 Month,Cash,Denton,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 5,"9,320","101,364",2021,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 6,"9,206","101,364",2021,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 7,"9,171","101,364",2021,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 8,"1,128","101,364",2022,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
13,"3170 S Ridge Rd #130
McKinney, TX 75070",Blueprint 9,"1,128","101,364",2022,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Cash,Collin,
